,similarity_treshold,social_influence,swingers,no_of_neighbors,echo_limit,opinions,Run,Silent_Spiral,community_no,echo_chamber,echo_count,echo_size,majority_percentage,radical_opinions,transitivity,network_type
1054,0.0747753906,0.0637011719,1.07421875,2.70703125,0.9170410156000001,4.2646484375,1054,0.12,20,19,0.006225426,{'3': 19},0.453,0.0,0.015134162500000001,2
1055,0.0591308594,0.0459472656,1.00390625,4.27734375,0.8877441406000001,4.2646484375,1055,0.24,8,111,0.0200542005,{'3': 111},0.486,0.001,0.0156332513,2
1056,0.0972753906,0.0412011719,4.07421875,5.70703125,0.8795410156000001,2.4716796875,1056,0.28,7,387,0.0522317189,"{'3': 375, '4': 10}",0.633,0.0,0.0242864323,2
1057,0.0366308594,0.0412011719,4.07421875,5.70703125,0.8795410156000001,2.4716796875,1057,0.58,4,347,0.050094107400000004,"{'3': 334, '4': 12}",0.537,0.0,0.0215666167,2
1058,0.0972753906,0.0234472656,4.07421875,5.70703125,0.8795410156000001,2.4716796875,1058,0.26,3,281,0.0404040404,"{'3': 271, '4': 9}",0.54,0.002,0.019107294400000002,2
1059,0.0972753906,0.0412011719,2.00390625,5.70703125,0.8795410156000001,2.4716796875,1059,0.48,4,324,0.0459509289,"{'3': 318, '4': 6}",0.542,0.0,0.0209969629,2
106,0.0522753906,0.0684472656,2.07421875,3.70703125,0.8045410156,3.9716796875,106,0.36,10,103,0.0239534884,{'3': 103},0.581,0.018000000000000002,0.0207702113,2
1060,0.0972753906,0.0412011719,4.07421875,5.27734375,0.8795410156000001,2.4716796875,1060,0.46,4,319,0.0446653598,"{'3': 312, '4': 7}",0.504,0.0,0.0203308146,2
1061,0.0972753906,0.0412011719,4.07421875,5.70703125,0.9252441406,2.4716796875,1061,0.38,5,342,0.047818791900000004,"{'3': 328, '4': 14}",0.514,0.001,0.0212388344,2
1062,0.0972753906,0.0412011719,4.07421875,5.70703125,0.8795410156000001,3.5146484375,1062,0.26,4,231,0.0327448747,"{'3': 224, '4': 6}",0.43,0.003,0.018120471500000002,2
1063,0.0366308594,0.0234472656,2.00390625,5.27734375,0.9252441406,3.5146484375,1063,0.62,13,362,0.0518008323,"{'3': 348, '4': 13}",0.928,0.0,0.0225346371,2
1064,0.0522753906,0.0862011719,2.07421875,3.70703125,0.8045410156,3.9716796875,1064,0.38,10,64,0.015105027100000001,{'3': 64},0.443,0.001,0.015591268200000001,2
1065,0.0816308594,0.0862011719,2.07421875,3.70703125,0.8045410156,3.9716796875,1065,0.24,11,77,0.0183158896,"{'3': 75, '4': 2}",0.379,0.001,0.0168637784,2
1066,0.0522753906,0.0684472656,2.07421875,3.70703125,0.8045410156,3.9716796875,1066,0.42,11,50,0.0120048019,{'3': 50},0.536,0.0,0.013711509600000001,2
1067,0.0522753906,0.0862011719,4.00390625,3.70703125,0.8045410156,3.9716796875,1067,0.34,10,58,0.0136824723,{'3': 58},0.443,0.0,0.013264741200000001,2
1068,0.0522753906,0.0862011719,2.07421875,3.27734375,0.8045410156,3.9716796875,1068,0.22,8,58,0.013666352500000001,{'3': 58},0.442,0.0,0.0145940353,2
1069,0.0522753906,0.0862011719,2.07421875,3.70703125,0.8502441406,3.9716796875,1069,0.28,8,70,0.016623129900000002,{'3': 70},0.47600000000000003,0.005,0.017038994300000002,2
107,0.0522753906,0.0862011719,4.00390625,3.70703125,0.8045410156,3.9716796875,107,0.24,11,54,0.012762940200000001,"{'3': 51, '4': 3}",0.494,0.0,0.0134301539,2
