	no_of_neighbors	similarity_treshold	social_influence	swingers	beta_component	Run	Echo_Chambers	Silent_Spiral	opinions	radical_opinions	network_type
39	3.4091796875	0.848212890625	0.652919921875	2.70703125	0.12724609375	39	1	0.26666666666666666	0.5866666666666667	0.02	1
40	3.4091796875	0.848212890625	0.275869140625	4.00390625	0.12724609375	40	7	0.2	0.48	0.0	1
41	3.4091796875	0.848212890625	0.275869140625	2.70703125	0.38740234375000004	41	7	0.2	0.5033333333333333	0.013333333333333334	1
42	3.4091796875	0.797939453125	0.652919921875	4.00390625	0.38740234375000004	42	8	0.23333333333333334	0.52	0.08333333333333333	1
43	3.9716796875	0.848212890625	0.652919921875	4.00390625	0.38740234375000004	43	4	0.23333333333333334	0.5033333333333333	0.013333333333333334	1
44	3.9716796875	0.797939453125	0.275869140625	4.00390625	0.38740234375000004	44	4	0.3	0.54	0.006666666666666667	1
45	3.9716796875	0.797939453125	0.652919921875	2.70703125	0.38740234375000004	45	4	0.36666666666666664	0.4866666666666667	0.04	1
46	3.9716796875	0.797939453125	0.652919921875	4.00390625	0.12724609375	46	5	0.3333333333333333	0.47333333333333333	0.02	1
47	3.9716796875	0.797939453125	0.652919921875	4.00390625	0.38740234375000004	47	5	0.3	0.48333333333333334	0.0	1
48	3.0341796875	0.476962890625	0.152119140625	2.20703125	0.23974609375	48	5	0.36666666666666664	0.42333333333333334	0.01	1
49	4.3466796875	0.476962890625	0.152119140625	2.20703125	0.23974609375	49	0	0.26666666666666666	0.51	0.006666666666666667	1
50	3.0341796875	0.426689453125	0.152119140625	2.20703125	0.23974609375	50	6	0.2	0.5633333333333334	0.006666666666666667	1
51	3.0341796875	0.476962890625	0.034169921875	2.20703125	0.23974609375	51	3	0.3333333333333333	0.55	0.0033333333333333335	1
52	3.0341796875	0.476962890625	0.152119140625	2.50390625	0.23974609375	52	7	0.23333333333333334	0.54	0.006666666666666667	1
53	3.0341796875	0.476962890625	0.152119140625	2.20703125	0.72490234375	53	6	0.26666666666666666	0.45666666666666667	0.006666666666666667	1
54	3.0341796875	0.426689453125	0.034169921875	2.50390625	0.72490234375	54	6	0.23333333333333334	0.4	0.01	1
55	4.3466796875	0.476962890625	0.034169921875	2.50390625	0.72490234375	55	2	0.26666666666666666	0.55	0.0033333333333333335	1
56	4.3466796875	0.426689453125	0.152119140625	2.50390625	0.72490234375	56	1	0.26666666666666666	0.4866666666666667	0.0033333333333333335	1
57	4.3466796875	0.426689453125	0.034169921875	2.20703125	0.72490234375	57	5	0.2	0.6233333333333333	0.0033333333333333335	1
58	4.3466796875	0.426689453125	0.034169921875	2.50390625	0.23974609375	58	0	0.26666666666666666	0.48333333333333334	0.006666666666666667	1
59	4.3466796875	0.426689453125	0.034169921875	2.50390625	0.72490234375	59	3	0.2	0.39666666666666667	0.0033333333333333335	1
60	4.5341796875	0.971962890625	0.647119140625	4.20703125	0.68974609375	60	0	0.36666666666666664	0.4666666666666667	0.08666666666666667	1
61	2.8466796875	0.971962890625	0.647119140625	4.20703125	0.68974609375	61	4	0.36666666666666664	0.5666666666666667	0.016666666666666666	1
62	4.5341796875	0.921689453125	0.647119140625	4.20703125	0.68974609375	62	1	0.23333333333333334	0.4666666666666667	0.26666666666666666	1
63	4.5341796875	0.971962890625	0.529169921875	4.20703125	0.68974609375	63	1	0.23333333333333334	0.53	0.0033333333333333335	1
64	4.5341796875	0.971962890625	0.647119140625	4.50390625	0.68974609375	64	0	0.2	0.5066666666666667	0.35	1
65	4.5341796875	0.971962890625	0.647119140625	4.20703125	0.27490234375	65	0	0.26666666666666666	0.47	0.1	1
66	4.5341796875	0.921689453125	0.529169921875	4.50390625	0.27490234375	66	3	0.3	0.43	0.07666666666666666	1
67	2.8466796875	0.971962890625	0.529169921875	4.50390625	0.27490234375	67	5	0.36666666666666664	0.6133333333333333	0.016666666666666666	1
68	2.8466796875	0.921689453125	0.647119140625	4.50390625	0.27490234375	68	10	0.26666666666666666	0.5066666666666667	0.0	1
